Cycle start time,Cycle end time,Cycle timezone,Question text,Answered yes,Notes
2025-11-20 23:06:14,2025-11-21 23:49:15,UTC-05:00,Took an ice bath?,false,"☀️ Made good progress on brain age model, had a good talk w Dave about hiring, enjoyed thanksgiving w Neurable
☁️ The Afshin meeting got mischeduled and Indidnt hear back from Terra in the AM so I was really concerned that I blew my job opportunities
🎯 PR at Gym, test at MIT for hackathon, prepare for knee meeting, show up well for Afshin call."
2025-11-20 23:06:14,2025-11-21 23:49:15,UTC-05:00,Used marijuana?,false,"☀️ Made good progress on brain age model, had a good talk w Dave about hiring, enjoyed thanksgiving w Neurable
☁️ The Afshin meeting got mischeduled and Indidnt hear back from Terra in the AM so I was really concerned that I blew my job opportunities
🎯 PR at Gym, test at MIT for hackathon, prepare for knee meeting, show up well for Afshin call."
2025-11-20 23:06:14,2025-11-21 23:49:15,UTC-05:00,Consumed caffeine?,true,"☀️ Made good progress on brain age model, had a good talk w Dave about hiring, enjoyed thanksgiving w Neurable
☁️ The Afshin meeting got mischeduled and Indidnt hear back from Terra in the AM so I was really concerned that I blew my job opportunities
🎯 PR at Gym, test at MIT for hackathon, prepare for knee meeting, show up well for Afshin call."
2025-11-20 23:06:14,2025-11-21 23:49:15,UTC-05:00,Have any alcoholic drinks?,false,"☀️ Made good progress on brain age model, had a good talk w Dave about hiring, enjoyed thanksgiving w Neurable
☁️ The Afshin meeting got mischeduled and Indidnt hear back from Terra in the AM so I was really concerned that I blew my job opportunities
🎯 PR at Gym, test at MIT for hackathon, prepare for knee meeting, show up well for Afshin call."
2025-11-20 01:00:07,2025-11-20 23:06:14,UTC-05:00,Felt nervous or anxious?,false,"☀️ had a good interview with Tara, made solid progress on Neurable and had a really nice walk with Jim, enjoyed cleaning the apartment with the boys and signing up for haymaker for Hope. Cooked pita and strategized/caught up with mom and dad.
☁️ didn’t finish downloading all of the data in the necessary format for brain age modeling
🎯 enjoy the interview with sincere and get clarity on next steps and team structure/company road map, open a dialogue gently with Dave about moving full-time, enjoy the potluck and get to bed early"
2025-11-20 01:00:07,2025-11-20 23:06:14,UTC-05:00,Have any alcoholic drinks?,false,"☀️ had a good interview with Tara, made solid progress on Neurable and had a really nice walk with Jim, enjoyed cleaning the apartment with the boys and signing up for haymaker for Hope. Cooked pita and strategized/caught up with mom and dad.
☁️ didn’t finish downloading all of the data in the necessary format for brain age modeling
🎯 enjoy the interview with sincere and get clarity on next steps and team structure/company road map, open a dialogue gently with Dave about moving full-time, enjoy the potluck and get to bed early"
2025-11-20 01:00:07,2025-11-20 23:06:14,UTC-05:00,Consumed caffeine?,true,"☀️ had a good interview with Tara, made solid progress on Neurable and had a really nice walk with Jim, enjoyed cleaning the apartment with the boys and signing up for haymaker for Hope. Cooked pita and strategized/caught up with mom and dad.
☁️ didn’t finish downloading all of the data in the necessary format for brain age modeling
🎯 enjoy the interview with sincere and get clarity on next steps and team structure/company road map, open a dialogue gently with Dave about moving full-time, enjoy the potluck and get to bed early"
2025-11-20 01:00:07,2025-11-20 23:06:14,UTC-05:00,Ate an afternoon snack?,false,"☀️ had a good interview with Tara, made solid progress on Neurable and had a really nice walk with Jim, enjoyed cleaning the apartment with the boys and signing up for haymaker for Hope. Cooked pita and strategized/caught up with mom and dad.
☁️ didn’t finish downloading all of the data in the necessary format for brain age modeling
🎯 enjoy the interview with sincere and get clarity on next steps and team structure/company road map, open a dialogue gently with Dave about moving full-time, enjoy the potluck and get to bed early"
2025-11-20 01:00:07,2025-11-20 23:06:14,UTC-05:00,Masturbated?,false,"☀️ had a good interview with Tara, made solid progress on Neurable and had a really nice walk with Jim, enjoyed cleaning the apartment with the boys and signing up for haymaker for Hope. Cooked pita and strategized/caught up with mom and dad.
☁️ didn’t finish downloading all of the data in the necessary format for brain age modeling
🎯 enjoy the interview with sincere and get clarity on next steps and team structure/company road map, open a dialogue gently with Dave about moving full-time, enjoy the potluck and get to bed early"
2025-11-20 01:00:07,2025-11-20 23:06:14,UTC-05:00,Avoided processed foods?,false,"☀️ had a good interview with Tara, made solid progress on Neurable and had a really nice walk with Jim, enjoyed cleaning the apartment with the boys and signing up for haymaker for Hope. Cooked pita and strategized/caught up with mom and dad.
☁️ didn’t finish downloading all of the data in the necessary format for brain age modeling
🎯 enjoy the interview with sincere and get clarity on next steps and team structure/company road map, open a dialogue gently with Dave about moving full-time, enjoy the potluck and get to bed early"
2025-11-20 01:00:07,2025-11-20 23:06:14,UTC-05:00,Faced challenges?,true,"☀️ had a good interview with Tara, made solid progress on Neurable and had a really nice walk with Jim, enjoyed cleaning the apartment with the boys and signing up for haymaker for Hope. Cooked pita and strategized/caught up with mom and dad.
☁️ didn’t finish downloading all of the data in the necessary format for brain age modeling
🎯 enjoy the interview with sincere and get clarity on next steps and team structure/company road map, open a dialogue gently with Dave about moving full-time, enjoy the potluck and get to bed early"
2025-11-20 01:00:07,2025-11-20 23:06:14,UTC-05:00,Consumed added sugar?,true,"☀️ had a good interview with Tara, made solid progress on Neurable and had a really nice walk with Jim, enjoyed cleaning the apartment with the boys and signing up for haymaker for Hope. Cooked pita and strategized/caught up with mom and dad.
☁️ didn’t finish downloading all of the data in the necessary format for brain age modeling
🎯 enjoy the interview with sincere and get clarity on next steps and team structure/company road map, open a dialogue gently with Dave about moving full-time, enjoy the potluck and get to bed early"
2025-11-20 01:00:07,2025-11-20 23:06:14,UTC-05:00,Engaged in sexual activity?,false,"☀️ had a good interview with Tara, made solid progress on Neurable and had a really nice walk with Jim, enjoyed cleaning the apartment with the boys and signing up for haymaker for Hope. Cooked pita and strategized/caught up with mom and dad.
☁️ didn’t finish downloading all of the data in the necessary format for brain age modeling
🎯 enjoy the interview with sincere and get clarity on next steps and team structure/company road map, open a dialogue gently with Dave about moving full-time, enjoy the potluck and get to bed early"
2025-11-20 01:00:07,2025-11-20 23:06:14,UTC-05:00,Felt a sense of purpose?,true,"☀️ had a good interview with Tara, made solid progress on Neurable and had a really nice walk with Jim, enjoyed cleaning the apartment with the boys and signing up for haymaker for Hope. Cooked pita and strategized/caught up with mom and dad.
☁️ didn’t finish downloading all of the data in the necessary format for brain age modeling
🎯 enjoy the interview with sincere and get clarity on next steps and team structure/company road map, open a dialogue gently with Dave about moving full-time, enjoy the potluck and get to bed early"
2025-11-20 01:00:07,2025-11-20 23:06:14,UTC-05:00,Feel generally positive about the future?,true,"☀️ had a good interview with Tara, made solid progress on Neurable and had a really nice walk with Jim, enjoyed cleaning the apartment with the boys and signing up for haymaker for Hope. Cooked pita and strategized/caught up with mom and dad.
☁️ didn’t finish downloading all of the data in the necessary format for brain age modeling
🎯 enjoy the interview with sincere and get clarity on next steps and team structure/company road map, open a dialogue gently with Dave about moving full-time, enjoy the potluck and get to bed early"
2025-11-20 01:00:07,2025-11-20 23:06:14,UTC-05:00,Had a nightmare?,false,"☀️ had a good interview with Tara, made solid progress on Neurable and had a really nice walk with Jim, enjoyed cleaning the apartment with the boys and signing up for haymaker for Hope. Cooked pita and strategized/caught up with mom and dad.
☁️ didn’t finish downloading all of the data in the necessary format for brain age modeling
🎯 enjoy the interview with sincere and get clarity on next steps and team structure/company road map, open a dialogue gently with Dave about moving full-time, enjoy the potluck and get to bed early"
2025-11-20 01:00:07,2025-11-20 23:06:14,UTC-05:00,Ate a morning snack?,false,"☀️ had a good interview with Tara, made solid progress on Neurable and had a really nice walk with Jim, enjoyed cleaning the apartment with the boys and signing up for haymaker for Hope. Cooked pita and strategized/caught up with mom and dad.
☁️ didn’t finish downloading all of the data in the necessary format for brain age modeling
🎯 enjoy the interview with sincere and get clarity on next steps and team structure/company road map, open a dialogue gently with Dave about moving full-time, enjoy the potluck and get to bed early"
2025-11-20 01:00:07,2025-11-20 23:06:14,UTC-05:00,Took a melatonin supplement?,false,"☀️ had a good interview with Tara, made solid progress on Neurable and had a really nice walk with Jim, enjoyed cleaning the apartment with the boys and signing up for haymaker for Hope. Cooked pita and strategized/caught up with mom and dad.
☁️ didn’t finish downloading all of the data in the necessary format for brain age modeling
🎯 enjoy the interview with sincere and get clarity on next steps and team structure/company road map, open a dialogue gently with Dave about moving full-time, enjoy the potluck and get to bed early"
2025-11-20 01:00:07,2025-11-20 23:06:14,UTC-05:00,Meditated?,false,"☀️ had a good interview with Tara, made solid progress on Neurable and had a really nice walk with Jim, enjoyed cleaning the apartment with the boys and signing up for haymaker for Hope. Cooked pita and strategized/caught up with mom and dad.
☁️ didn’t finish downloading all of the data in the necessary format for brain age modeling
🎯 enjoy the interview with sincere and get clarity on next steps and team structure/company road map, open a dialogue gently with Dave about moving full-time, enjoy the potluck and get to bed early"
2025-11-20 01:00:07,2025-11-20 23:06:14,UTC-05:00,Used marijuana?,false,"☀️ had a good interview with Tara, made solid progress on Neurable and had a really nice walk with Jim, enjoyed cleaning the apartment with the boys and signing up for haymaker for Hope. Cooked pita and strategized/caught up with mom and dad.
☁️ didn’t finish downloading all of the data in the necessary format for brain age modeling
🎯 enjoy the interview with sincere and get clarity on next steps and team structure/company road map, open a dialogue gently with Dave about moving full-time, enjoy the potluck and get to bed early"
2025-11-20 01:00:07,2025-11-20 23:06:14,UTC-05:00,Experienced loneliness?,false,"☀️ had a good interview with Tara, made solid progress on Neurable and had a really nice walk with Jim, enjoyed cleaning the apartment with the boys and signing up for haymaker for Hope. Cooked pita and strategized/caught up with mom and dad.
☁️ didn’t finish downloading all of the data in the necessary format for brain age modeling
🎯 enjoy the interview with sincere and get clarity on next steps and team structure/company road map, open a dialogue gently with Dave about moving full-time, enjoy the potluck and get to bed early"
2025-11-20 01:00:07,2025-11-20 23:06:14,UTC-05:00,Ate food close to bedtime?,false,"☀️ had a good interview with Tara, made solid progress on Neurable and had a really nice walk with Jim, enjoyed cleaning the apartment with the boys and signing up for haymaker for Hope. Cooked pita and strategized/caught up with mom and dad.
☁️ didn’t finish downloading all of the data in the necessary format for brain age modeling
🎯 enjoy the interview with sincere and get clarity on next steps and team structure/company road map, open a dialogue gently with Dave about moving full-time, enjoy the potluck and get to bed early"
2025-11-20 01:00:07,2025-11-20 23:06:14,UTC-05:00,Felt Irritable?,false,"☀️ had a good interview with Tara, made solid progress on Neurable and had a really nice walk with Jim, enjoyed cleaning the apartment with the boys and signing up for haymaker for Hope. Cooked pita and strategized/caught up with mom and dad.
☁️ didn’t finish downloading all of the data in the necessary format for brain age modeling
🎯 enjoy the interview with sincere and get clarity on next steps and team structure/company road map, open a dialogue gently with Dave about moving full-time, enjoy the potluck and get to bed early"
2025-11-20 01:00:07,2025-11-20 23:06:14,UTC-05:00,Took an ice bath?,false,"☀️ had a good interview with Tara, made solid progress on Neurable and had a really nice walk with Jim, enjoyed cleaning the apartment with the boys and signing up for haymaker for Hope. Cooked pita and strategized/caught up with mom and dad.
☁️ didn’t finish downloading all of the data in the necessary format for brain age modeling
🎯 enjoy the interview with sincere and get clarity on next steps and team structure/company road map, open a dialogue gently with Dave about moving full-time, enjoy the potluck and get to bed early"
2025-11-20 01:00:07,2025-11-20 23:06:14,UTC-05:00,Spent time in a hot tub?,false,"☀️ had a good interview with Tara, made solid progress on Neurable and had a really nice walk with Jim, enjoyed cleaning the apartment with the boys and signing up for haymaker for Hope. Cooked pita and strategized/caught up with mom and dad.
☁️ didn’t finish downloading all of the data in the necessary format for brain age modeling
🎯 enjoy the interview with sincere and get clarity on next steps and team structure/company road map, open a dialogue gently with Dave about moving full-time, enjoy the potluck and get to bed early"
2025-11-20 01:00:07,2025-11-20 23:06:14,UTC-05:00,Experienced a headache?,false,"☀️ had a good interview with Tara, made solid progress on Neurable and had a really nice walk with Jim, enjoyed cleaning the apartment with the boys and signing up for haymaker for Hope. Cooked pita and strategized/caught up with mom and dad.
☁️ didn’t finish downloading all of the data in the necessary format for brain age modeling
🎯 enjoy the interview with sincere and get clarity on next steps and team structure/company road map, open a dialogue gently with Dave about moving full-time, enjoy the potluck and get to bed early"
2025-11-20 01:00:07,2025-11-20 23:06:14,UTC-05:00,Experienced flow state?,false,"☀️ had a good interview with Tara, made solid progress on Neurable and had a really nice walk with Jim, enjoyed cleaning the apartment with the boys and signing up for haymaker for Hope. Cooked pita and strategized/caught up with mom and dad.
☁️ didn’t finish downloading all of the data in the necessary format for brain age modeling
🎯 enjoy the interview with sincere and get clarity on next steps and team structure/company road map, open a dialogue gently with Dave about moving full-time, enjoy the potluck and get to bed early"
2025-11-20 01:00:07,2025-11-20 23:06:14,UTC-05:00,Connected with family and/or friends?,true,"☀️ had a good interview with Tara, made solid progress on Neurable and had a really nice walk with Jim, enjoyed cleaning the apartment with the boys and signing up for haymaker for Hope. Cooked pita and strategized/caught up with mom and dad.
☁️ didn’t finish downloading all of the data in the necessary format for brain age modeling
🎯 enjoy the interview with sincere and get clarity on next steps and team structure/company road map, open a dialogue gently with Dave about moving full-time, enjoy the potluck and get to bed early"
2025-11-20 01:00:07,2025-11-20 23:06:14,UTC-05:00,Ate an evening snack?,true,"☀️ had a good interview with Tara, made solid progress on Neurable and had a really nice walk with Jim, enjoyed cleaning the apartment with the boys and signing up for haymaker for Hope. Cooked pita and strategized/caught up with mom and dad.
☁️ didn’t finish downloading all of the data in the necessary format for brain age modeling
🎯 enjoy the interview with sincere and get clarity on next steps and team structure/company road map, open a dialogue gently with Dave about moving full-time, enjoy the potluck and get to bed early"
2025-11-20 01:00:07,2025-11-20 23:06:14,UTC-05:00,Felt depressed or down?,false,"☀️ had a good interview with Tara, made solid progress on Neurable and had a really nice walk with Jim, enjoyed cleaning the apartment with the boys and signing up for haymaker for Hope. Cooked pita and strategized/caught up with mom and dad.
☁️ didn’t finish downloading all of the data in the necessary format for brain age modeling
🎯 enjoy the interview with sincere and get clarity on next steps and team structure/company road map, open a dialogue gently with Dave about moving full-time, enjoy the potluck and get to bed early"
2025-11-20 01:00:07,2025-11-20 23:06:14,UTC-05:00,Ate all your meals during daylight hours?,false,"☀️ had a good interview with Tara, made solid progress on Neurable and had a really nice walk with Jim, enjoyed cleaning the apartment with the boys and signing up for haymaker for Hope. Cooked pita and strategized/caught up with mom and dad.
☁️ didn’t finish downloading all of the data in the necessary format for brain age modeling
🎯 enjoy the interview with sincere and get clarity on next steps and team structure/company road map, open a dialogue gently with Dave about moving full-time, enjoy the potluck and get to bed early"
2025-11-20 01:00:07,2025-11-20 23:06:14,UTC-05:00,Practiced contrast therapy (hot/cold)?,false,"☀️ had a good interview with Tara, made solid progress on Neurable and had a really nice walk with Jim, enjoyed cleaning the apartment with the boys and signing up for haymaker for Hope. Cooked pita and strategized/caught up with mom and dad.
☁️ didn’t finish downloading all of the data in the necessary format for brain age modeling
🎯 enjoy the interview with sincere and get clarity on next steps and team structure/company road map, open a dialogue gently with Dave about moving full-time, enjoy the potluck and get to bed early"
2025-11-17 23:03:31,2025-11-18 22:30:38,UTC-05:00,Consumed added sugar?,false,"☀️ Enjoyed the beautiful view at Hinesburg. Mostly finished the Prof G pod. Fasted in the evening. Stopped to help someone who hit a deer.
☁️ Masturbated twice impulsively and had no energy or motivation to do my work. Had bad energy on my YC call."
2025-11-17 23:03:31,2025-11-18 22:30:38,UTC-05:00,Faced challenges?,true,"☀️ Enjoyed the beautiful view at Hinesburg. Mostly finished the Prof G pod. Fasted in the evening. Stopped to help someone who hit a deer.
☁️ Masturbated twice impulsively and had no energy or motivation to do my work. Had bad energy on my YC call."
2025-11-17 23:03:31,2025-11-18 22:30:38,UTC-05:00,Consumed caffeine?,true,"☀️ Enjoyed the beautiful view at Hinesburg. Mostly finished the Prof G pod. Fasted in the evening. Stopped to help someone who hit a deer.
☁️ Masturbated twice impulsively and had no energy or motivation to do my work. Had bad energy on my YC call."
2025-11-17 23:03:31,2025-11-18 22:30:38,UTC-05:00,Avoided processed foods?,true,"☀️ Enjoyed the beautiful view at Hinesburg. Mostly finished the Prof G pod. Fasted in the evening. Stopped to help someone who hit a deer.
☁️ Masturbated twice impulsively and had no energy or motivation to do my work. Had bad energy on my YC call."
2025-11-17 23:03:31,2025-11-18 22:30:38,UTC-05:00,Felt nervous or anxious?,true,"☀️ Enjoyed the beautiful view at Hinesburg. Mostly finished the Prof G pod. Fasted in the evening. Stopped to help someone who hit a deer.
☁️ Masturbated twice impulsively and had no energy or motivation to do my work. Had bad energy on my YC call."
2025-11-17 23:03:31,2025-11-18 22:30:38,UTC-05:00,Engaged in sexual activity?,false,"☀️ Enjoyed the beautiful view at Hinesburg. Mostly finished the Prof G pod. Fasted in the evening. Stopped to help someone who hit a deer.
☁️ Masturbated twice impulsively and had no energy or motivation to do my work. Had bad energy on my YC call."
2025-11-17 23:03:31,2025-11-18 22:30:38,UTC-05:00,Felt depressed or down?,true,"☀️ Enjoyed the beautiful view at Hinesburg. Mostly finished the Prof G pod. Fasted in the evening. Stopped to help someone who hit a deer.
☁️ Masturbated twice impulsively and had no energy or motivation to do my work. Had bad energy on my YC call."
2025-11-17 23:03:31,2025-11-18 22:30:38,UTC-05:00,Have any alcoholic drinks?,false,"☀️ Enjoyed the beautiful view at Hinesburg. Mostly finished the Prof G pod. Fasted in the evening. Stopped to help someone who hit a deer.
☁️ Masturbated twice impulsively and had no energy or motivation to do my work. Had bad energy on my YC call."
2025-11-17 23:03:31,2025-11-18 22:30:38,UTC-05:00,Felt a sense of purpose?,true,"☀️ Enjoyed the beautiful view at Hinesburg. Mostly finished the Prof G pod. Fasted in the evening. Stopped to help someone who hit a deer.
☁️ Masturbated twice impulsively and had no energy or motivation to do my work. Had bad energy on my YC call."
2025-11-17 23:03:31,2025-11-18 22:30:38,UTC-05:00,Feel generally positive about the future?,true,"☀️ Enjoyed the beautiful view at Hinesburg. Mostly finished the Prof G pod. Fasted in the evening. Stopped to help someone who hit a deer.
☁️ Masturbated twice impulsively and had no energy or motivation to do my work. Had bad energy on my YC call."
2025-11-17 23:03:31,2025-11-18 22:30:38,UTC-05:00,Had a nightmare?,false,"☀️ Enjoyed the beautiful view at Hinesburg. Mostly finished the Prof G pod. Fasted in the evening. Stopped to help someone who hit a deer.
☁️ Masturbated twice impulsively and had no energy or motivation to do my work. Had bad energy on my YC call."
2025-11-17 23:03:31,2025-11-18 22:30:38,UTC-05:00,Took a melatonin supplement?,false,"☀️ Enjoyed the beautiful view at Hinesburg. Mostly finished the Prof G pod. Fasted in the evening. Stopped to help someone who hit a deer.
☁️ Masturbated twice impulsively and had no energy or motivation to do my work. Had bad energy on my YC call."
2025-11-17 23:03:31,2025-11-18 22:30:38,UTC-05:00,Meditated?,false,"☀️ Enjoyed the beautiful view at Hinesburg. Mostly finished the Prof G pod. Fasted in the evening. Stopped to help someone who hit a deer.
☁️ Masturbated twice impulsively and had no energy or motivation to do my work. Had bad energy on my YC call."
2025-11-17 23:03:31,2025-11-18 22:30:38,UTC-05:00,Masturbated?,true,"☀️ Enjoyed the beautiful view at Hinesburg. Mostly finished the Prof G pod. Fasted in the evening. Stopped to help someone who hit a deer.
☁️ Masturbated twice impulsively and had no energy or motivation to do my work. Had bad energy on my YC call."
2025-11-17 23:03:31,2025-11-18 22:30:38,UTC-05:00,Used marijuana?,false,"☀️ Enjoyed the beautiful view at Hinesburg. Mostly finished the Prof G pod. Fasted in the evening. Stopped to help someone who hit a deer.
☁️ Masturbated twice impulsively and had no energy or motivation to do my work. Had bad energy on my YC call."
2025-11-17 23:03:31,2025-11-18 22:30:38,UTC-05:00,Experienced loneliness?,true,"☀️ Enjoyed the beautiful view at Hinesburg. Mostly finished the Prof G pod. Fasted in the evening. Stopped to help someone who hit a deer.
☁️ Masturbated twice impulsively and had no energy or motivation to do my work. Had bad energy on my YC call."
2025-11-17 23:03:31,2025-11-18 22:30:38,UTC-05:00,Ate food close to bedtime?,false,"☀️ Enjoyed the beautiful view at Hinesburg. Mostly finished the Prof G pod. Fasted in the evening. Stopped to help someone who hit a deer.
☁️ Masturbated twice impulsively and had no energy or motivation to do my work. Had bad energy on my YC call."
2025-11-17 23:03:31,2025-11-18 22:30:38,UTC-05:00,Felt Irritable?,false,"☀️ Enjoyed the beautiful view at Hinesburg. Mostly finished the Prof G pod. Fasted in the evening. Stopped to help someone who hit a deer.
☁️ Masturbated twice impulsively and had no energy or motivation to do my work. Had bad energy on my YC call."
2025-11-17 23:03:31,2025-11-18 22:30:38,UTC-05:00,Took an ice bath?,false,"☀️ Enjoyed the beautiful view at Hinesburg. Mostly finished the Prof G pod. Fasted in the evening. Stopped to help someone who hit a deer.
☁️ Masturbated twice impulsively and had no energy or motivation to do my work. Had bad energy on my YC call."
2025-11-17 23:03:31,2025-11-18 22:30:38,UTC-05:00,Spent time in a hot tub?,false,"☀️ Enjoyed the beautiful view at Hinesburg. Mostly finished the Prof G pod. Fasted in the evening. Stopped to help someone who hit a deer.
☁️ Masturbated twice impulsively and had no energy or motivation to do my work. Had bad energy on my YC call."
2025-11-17 23:03:31,2025-11-18 22:30:38,UTC-05:00,Experienced a headache?,false,"☀️ Enjoyed the beautiful view at Hinesburg. Mostly finished the Prof G pod. Fasted in the evening. Stopped to help someone who hit a deer.
☁️ Masturbated twice impulsively and had no energy or motivation to do my work. Had bad energy on my YC call."
2025-11-17 23:03:31,2025-11-18 22:30:38,UTC-05:00,Experienced flow state?,false,"☀️ Enjoyed the beautiful view at Hinesburg. Mostly finished the Prof G pod. Fasted in the evening. Stopped to help someone who hit a deer.
☁️ Masturbated twice impulsively and had no energy or motivation to do my work. Had bad energy on my YC call."
2025-11-17 23:03:31,2025-11-18 22:30:38,UTC-05:00,Connected with family and/or friends?,true,"☀️ Enjoyed the beautiful view at Hinesburg. Mostly finished the Prof G pod. Fasted in the evening. Stopped to help someone who hit a deer.
☁️ Masturbated twice impulsively and had no energy or motivation to do my work. Had bad energy on my YC call."
2025-11-17 23:03:31,2025-11-18 22:30:38,UTC-05:00,Ate all your meals during daylight hours?,true,"☀️ Enjoyed the beautiful view at Hinesburg. Mostly finished the Prof G pod. Fasted in the evening. Stopped to help someone who hit a deer.
☁️ Masturbated twice impulsively and had no energy or motivation to do my work. Had bad energy on my YC call."
2025-11-17 23:03:31,2025-11-18 22:30:38,UTC-05:00,Practiced contrast therapy (hot/cold)?,false,"☀️ Enjoyed the beautiful view at Hinesburg. Mostly finished the Prof G pod. Fasted in the evening. Stopped to help someone who hit a deer.
☁️ Masturbated twice impulsively and had no energy or motivation to do my work. Had bad energy on my YC call."
2025-11-18 22:30:38,2025-11-20 01:00:07,UTC-05:00,Have any alcoholic drinks?,false,"☀️ Had a really good interview with Afshin of Synseer and a nice quick morning workout at home. Had good vibes at the office. Enjoyed Pilates and contrast therapy with Sam and Elle.
☁️ Wasted time driving to Sevan’s when it was closed. Felt stressed / icky about the hiring process and how I will handle it.
🎯 Gym and prep well for Terra interview. Make solid progress on brain-age 2.0. Make pita."
2025-11-18 22:30:38,2025-11-20 01:00:07,UTC-05:00,Feel generally positive about the future?,true,"☀️ Had a really good interview with Afshin of Synseer and a nice quick morning workout at home. Had good vibes at the office. Enjoyed Pilates and contrast therapy with Sam and Elle.
☁️ Wasted time driving to Sevan’s when it was closed. Felt stressed / icky about the hiring process and how I will handle it.
🎯 Gym and prep well for Terra interview. Make solid progress on brain-age 2.0. Make pita."
2025-11-18 22:30:38,2025-11-20 01:00:07,UTC-05:00,Ate food close to bedtime?,false,"☀️ Had a really good interview with Afshin of Synseer and a nice quick morning workout at home. Had good vibes at the office. Enjoyed Pilates and contrast therapy with Sam and Elle.
☁️ Wasted time driving to Sevan’s when it was closed. Felt stressed / icky about the hiring process and how I will handle it.
🎯 Gym and prep well for Terra interview. Make solid progress on brain-age 2.0. Make pita."
2025-11-18 22:30:38,2025-11-20 01:00:07,UTC-05:00,Felt depressed or down?,false,"☀️ Had a really good interview with Afshin of Synseer and a nice quick morning workout at home. Had good vibes at the office. Enjoyed Pilates and contrast therapy with Sam and Elle.
☁️ Wasted time driving to Sevan’s when it was closed. Felt stressed / icky about the hiring process and how I will handle it.
🎯 Gym and prep well for Terra interview. Make solid progress on brain-age 2.0. Make pita."
2025-11-18 22:30:38,2025-11-20 01:00:07,UTC-05:00,Engaged in sexual activity?,false,"☀️ Had a really good interview with Afshin of Synseer and a nice quick morning workout at home. Had good vibes at the office. Enjoyed Pilates and contrast therapy with Sam and Elle.
☁️ Wasted time driving to Sevan’s when it was closed. Felt stressed / icky about the hiring process and how I will handle it.
🎯 Gym and prep well for Terra interview. Make solid progress on brain-age 2.0. Make pita."
2025-11-18 22:30:38,2025-11-20 01:00:07,UTC-05:00,Experienced flow state?,false,"☀️ Had a really good interview with Afshin of Synseer and a nice quick morning workout at home. Had good vibes at the office. Enjoyed Pilates and contrast therapy with Sam and Elle.
☁️ Wasted time driving to Sevan’s when it was closed. Felt stressed / icky about the hiring process and how I will handle it.
🎯 Gym and prep well for Terra interview. Make solid progress on brain-age 2.0. Make pita."
2025-11-18 22:30:38,2025-11-20 01:00:07,UTC-05:00,Experienced loneliness?,true,"☀️ Had a really good interview with Afshin of Synseer and a nice quick morning workout at home. Had good vibes at the office. Enjoyed Pilates and contrast therapy with Sam and Elle.
☁️ Wasted time driving to Sevan’s when it was closed. Felt stressed / icky about the hiring process and how I will handle it.
🎯 Gym and prep well for Terra interview. Make solid progress on brain-age 2.0. Make pita."
2025-11-18 22:30:38,2025-11-20 01:00:07,UTC-05:00,Ate all your meals during daylight hours?,false,"☀️ Had a really good interview with Afshin of Synseer and a nice quick morning workout at home. Had good vibes at the office. Enjoyed Pilates and contrast therapy with Sam and Elle.
☁️ Wasted time driving to Sevan’s when it was closed. Felt stressed / icky about the hiring process and how I will handle it.
🎯 Gym and prep well for Terra interview. Make solid progress on brain-age 2.0. Make pita."
2025-11-18 22:30:38,2025-11-20 01:00:07,UTC-05:00,Used marijuana?,false,"☀️ Had a really good interview with Afshin of Synseer and a nice quick morning workout at home. Had good vibes at the office. Enjoyed Pilates and contrast therapy with Sam and Elle.
☁️ Wasted time driving to Sevan’s when it was closed. Felt stressed / icky about the hiring process and how I will handle it.
🎯 Gym and prep well for Terra interview. Make solid progress on brain-age 2.0. Make pita."
2025-11-18 22:30:38,2025-11-20 01:00:07,UTC-05:00,Practiced contrast therapy (hot/cold)?,true,"☀️ Had a really good interview with Afshin of Synseer and a nice quick morning workout at home. Had good vibes at the office. Enjoyed Pilates and contrast therapy with Sam and Elle.
☁️ Wasted time driving to Sevan’s when it was closed. Felt stressed / icky about the hiring process and how I will handle it.
🎯 Gym and prep well for Terra interview. Make solid progress on brain-age 2.0. Make pita."
2025-11-18 22:30:38,2025-11-20 01:00:07,UTC-05:00,Had a nightmare?,false,"☀️ Had a really good interview with Afshin of Synseer and a nice quick morning workout at home. Had good vibes at the office. Enjoyed Pilates and contrast therapy with Sam and Elle.
☁️ Wasted time driving to Sevan’s when it was closed. Felt stressed / icky about the hiring process and how I will handle it.
🎯 Gym and prep well for Terra interview. Make solid progress on brain-age 2.0. Make pita."
2025-11-18 22:30:38,2025-11-20 01:00:07,UTC-05:00,Faced challenges?,true,"☀️ Had a really good interview with Afshin of Synseer and a nice quick morning workout at home. Had good vibes at the office. Enjoyed Pilates and contrast therapy with Sam and Elle.
☁️ Wasted time driving to Sevan’s when it was closed. Felt stressed / icky about the hiring process and how I will handle it.
🎯 Gym and prep well for Terra interview. Make solid progress on brain-age 2.0. Make pita."
2025-11-18 22:30:38,2025-11-20 01:00:07,UTC-05:00,Experienced a headache?,false,"☀️ Had a really good interview with Afshin of Synseer and a nice quick morning workout at home. Had good vibes at the office. Enjoyed Pilates and contrast therapy with Sam and Elle.
☁️ Wasted time driving to Sevan’s when it was closed. Felt stressed / icky about the hiring process and how I will handle it.
🎯 Gym and prep well for Terra interview. Make solid progress on brain-age 2.0. Make pita."
